Timestamp,Class,Confidence,X1,Y1,X2,Y2
2025-10-29_08-53-35,shoplifting,0.6716314554214478,457,93,716,432
2025-10-29_08-53-36,normal,0.466849148273468,453,93,718,429
2025-10-29_08-53-36,normal,0.5406506061553955,447,91,722,428
2025-10-29_08-53-37,normal,0.5008401870727539,456,95,664,427
2025-10-29_08-53-37,normal,0.5789785385131836,460,100,603,428
2025-10-29_08-53-37,normal,0.5785132646560669,450,99,686,429
2025-10-29_08-53-37,normal,0.5879262089729309,405,97,696,429
2025-10-29_08-53-37,normal,0.5675731301307678,399,100,599,428
2025-10-29_08-53-37,normal,0.5382519960403442,453,101,632,427
2025-10-29_08-53-37,normal,0.46671316027641296,435,98,725,428
2025-10-29_08-53-37,normal,0.6334192752838135,460,103,626,427
2025-10-29_08-53-37,normal,0.5557875037193298,450,102,721,428
2025-10-29_08-53-38,normal,0.6771811842918396,457,104,640,428
2025-10-29_08-53-38,normal,0.6095379590988159,452,104,718,428
2025-10-29_08-53-38,normal,0.6610601544380188,453,102,617,428
2025-10-29_08-53-38,normal,0.6388383507728577,449,103,685,429
2025-10-29_08-53-38,normal,0.672013521194458,456,99,671,428
2025-10-29_08-53-38,normal,0.7256246209144592,453,99,731,430
2025-10-29_08-53-38,normal,0.6995052099227905,449,99,659,428
2025-10-29_08-53-39,normal,0.6759872436523438,448,99,653,428
2025-10-29_08-53-39,normal,0.5193648338317871,454,99,733,431
2025-10-29_08-53-39,normal,0.676999568939209,448,102,732,429
2025-10-29_08-53-39,normal,0.661807656288147,447,100,717,429
2025-10-29_08-53-39,normal,0.6369549632072449,447,100,727,429
2025-10-29_08-53-39,normal,0.6693305969238281,450,101,601,428
2025-10-29_08-53-39,normal,0.5795682072639465,448,103,718,429
2025-10-29_08-53-40,normal,0.7159550189971924,455,106,590,429
2025-10-29_08-53-40,normal,0.5496099591255188,454,107,661,429
2025-10-29_08-53-40,normal,0.7441954016685486,451,103,586,428
2025-10-29_08-53-40,normal,0.5386048555374146,451,106,654,429
2025-10-29_08-53-40,normal,0.7704067826271057,450,103,583,429
2025-10-29_08-53-40,normal,0.7916719913482666,440,103,581,429
2025-10-29_08-53-40,normal,0.5102756023406982,557,111,727,432
2025-10-29_08-53-40,normal,0.7659154534339905,440,106,581,429
2025-10-29_08-53-40,normal,0.5805929899215698,560,112,726,432
2025-10-29_08-53-40,normal,0.6805603504180908,438,100,595,430
2025-10-29_08-53-40,normal,0.5318421125411987,443,102,681,430
2025-10-29_08-53-41,normal,0.6772578358650208,438,105,580,430
2025-10-29_08-53-41,normal,0.4660729169845581,496,110,726,431
2025-10-29_08-53-41,normal,0.6680739521980286,421,99,573,429
2025-10-29_08-53-41,normal,0.6161553859710693,424,100,569,429
2025-10-29_08-53-41,normal,0.5672376751899719,432,97,563,428
2025-10-29_08-53-41,normal,0.7279173135757446,433,100,560,429
2025-10-29_08-53-42,normal,0.6717385649681091,435,98,557,427
2025-10-29_08-53-42,normal,0.5251450538635254,419,90,553,427
2025-10-29_08-53-42,normal,0.6680343747138977,410,83,550,427
2025-10-29_08-53-42,normal,0.7022340297698975,400,84,544,424
2025-10-29_08-53-42,normal,0.6875566840171814,400,87,542,423
2025-10-29_08-53-42,normal,0.5442817211151123,565,125,716,432
2025-10-29_08-53-51,normal,0.5239809155464172,359,65,539,430
2025-10-29_08-53-51,normal,0.607585072517395,364,66,535,430
2025-10-29_08-53-51,normal,0.6235201358795166,338,71,534,431
2025-10-29_08-53-51,normal,0.49289727210998535,534,134,655,432
2025-10-29_08-53-52,normal,0.5882408618927002,335,71,533,431
2025-10-29_08-53-52,normal,0.5724222660064697,324,85,531,429
2025-10-29_08-53-52,normal,0.6785460114479065,347,76,531,432
2025-10-29_08-53-52,normal,0.6477183699607849,316,73,533,432
2025-10-29_08-53-55,normal,0.4915942847728729,534,138,650,431
2025-10-29_08-53-55,normal,0.572979211807251,371,84,512,429
2025-10-29_08-53-55,normal,0.5555721521377563,534,138,652,431
2025-10-29_08-53-55,normal,0.7522857785224915,534,140,655,431
2025-10-29_08-53-55,normal,0.5350322723388672,376,92,510,416
2025-10-29_08-53-55,normal,0.7529298067092896,534,141,657,430
2025-10-29_08-53-55,normal,0.695248007774353,369,85,509,416
2025-10-29_08-53-55,normal,0.7730286121368408,533,140,655,431
2025-10-29_08-53-55,normal,0.766010046005249,364,75,507,408
2025-10-29_08-53-56,normal,0.7524549961090088,356,63,505,419
2025-10-29_08-53-56,normal,0.6016646027565002,533,139,652,430
2025-10-29_08-53-56,normal,0.7693207859992981,358,68,503,420
2025-10-29_08-53-56,normal,0.5353723168373108,533,137,651,430
2025-10-29_08-53-56,normal,0.7474565505981445,360,61,501,423
2025-10-29_08-53-56,normal,0.5034888386726379,532,136,650,429
2025-10-29_08-53-56,normal,0.7861905694007874,359,60,500,426
2025-10-29_08-53-56,normal,0.7436607480049133,531,137,652,429
2025-10-29_08-53-56,normal,0.8171926736831665,531,138,651,429
2025-10-29_08-53-56,normal,0.7576438784599304,351,70,498,427
2025-10-29_08-53-57,normal,0.8288640379905701,530,139,652,429
2025-10-29_08-53-57,normal,0.7624462842941284,346,68,496,427
2025-10-29_08-53-57,normal,0.8318228125572205,530,139,651,428
2025-10-29_08-53-57,normal,0.7360866069793701,343,73,494,426
2025-10-29_08-53-57,normal,0.8277943730354309,530,139,651,428
2025-10-29_08-53-57,normal,0.7228846549987793,346,72,493,426
2025-10-29_08-53-57,normal,0.8250699043273926,530,139,649,428
2025-10-29_08-53-57,normal,0.7465766072273254,337,66,493,427
2025-10-29_08-53-57,normal,0.8345145583152771,530,139,651,427
2025-10-29_08-53-57,normal,0.755618155002594,328,58,492,427
2025-10-29_08-53-58,normal,0.83574378490448,529,138,651,427
2025-10-29_08-53-58,normal,0.7665129899978638,316,56,490,430
2025-10-29_08-53-58,normal,0.8345916867256165,529,138,649,427
2025-10-29_08-53-58,normal,0.6622701287269592,316,55,491,427
2025-10-29_08-53-58,normal,0.840687096118927,529,136,650,426
2025-10-29_08-53-58,normal,0.7669419050216675,314,58,491,428
2025-10-29_08-53-58,normal,0.8344159722328186,530,137,651,426
2025-10-29_08-53-58,normal,0.7947736978530884,315,66,490,428
2025-10-29_08-53-58,normal,0.8403055667877197,531,137,653,425
2025-10-29_08-53-58,normal,0.8050559163093567,315,68,487,430
2025-10-29_08-53-58,normal,0.8326447606086731,531,138,651,425
2025-10-29_08-53-58,normal,0.7947765588760376,315,68,488,430
2025-10-29_08-53-59,normal,0.8192076683044434,532,138,650,425
2025-10-29_08-53-59,normal,0.7780534625053406,316,67,488,430
2025-10-29_08-53-59,normal,0.8259527087211609,315,68,486,430
2025-10-29_08-53-59,normal,0.7973702549934387,532,137,649,425
2025-10-29_08-53-59,normal,0.8220967054367065,311,70,485,430
2025-10-29_08-53-59,normal,0.7910342216491699,533,137,646,423
2025-10-29_08-53-59,normal,0.8142042756080627,309,72,485,430
2025-10-29_08-53-59,normal,0.7986130714416504,533,137,646,423
2025-10-29_08-53-59,normal,0.820092499256134,310,76,484,430
2025-10-29_08-53-59,normal,0.8028882741928101,533,138,646,423
2025-10-29_08-54-00,normal,0.8250321745872498,310,77,485,431
2025-10-29_08-54-00,normal,0.7957994341850281,533,138,646,424
2025-10-29_08-54-00,normal,0.7955338954925537,533,138,649,423
2025-10-29_08-54-00,normal,0.7602141499519348,308,75,486,430
2025-10-29_08-54-00,normal,0.8103436827659607,311,74,486,429
2025-10-29_08-54-00,normal,0.7977743148803711,534,139,649,422
2025-10-29_08-54-00,normal,0.7878834009170532,316,71,488,428
2025-10-29_08-54-00,normal,0.7253561019897461,532,137,649,423
2025-10-29_08-54-00,normal,0.8011456727981567,317,75,487,427
2025-10-29_08-54-00,normal,0.6934545040130615,532,135,647,422
2025-10-29_08-54-00,normal,0.5131896138191223,529,132,705,424
2025-10-29_08-54-01,normal,0.8202981352806091,312,49,489,425
2025-10-29_08-54-01,normal,0.5692576169967651,533,135,652,422
2025-10-29_08-54-01,normal,0.5231229662895203,530,131,747,424
2025-10-29_08-54-01,normal,0.8247020840644836,314,41,490,426
2025-10-29_08-54-01,normal,0.6633923053741455,532,136,651,422
2025-10-29_08-54-01,normal,0.59837406873703,528,132,747,424
2025-10-29_08-54-01,normal,0.8128575086593628,316,42,491,427
2025-10-29_08-54-01,normal,0.6761754751205444,534,138,663,420
2025-10-29_08-54-01,normal,0.6199842095375061,531,134,753,423
2025-10-29_08-54-01,normal,0.8262792229652405,318,42,493,430
2025-10-29_08-54-01,normal,0.618118166923523,534,138,675,419
2025-10-29_08-54-01,normal,0.6026771664619446,531,131,755,422
2025-10-29_08-54-01,normal,0.809203565120697,322,47,494,428
2025-10-29_08-54-01,normal,0.5287104845046997,533,126,756,421
2025-10-29_08-54-01,normal,0.7916859984397888,326,51,496,427
2025-10-29_08-54-02,normal,0.7709096670150757,328,50,499,417
2025-10-29_08-54-02,normal,0.6459763646125793,537,138,735,420
2025-10-29_08-54-02,normal,0.5758520364761353,540,138,726,420
2025-10-29_08-54-02,normal,0.4989969730377197,320,45,501,418
2025-10-29_08-54-02,normal,0.6718509793281555,545,141,700,419
2025-10-29_08-54-02,normal,0.4950661063194275,324,46,503,423
2025-10-29_08-54-02,normal,0.6761720180511475,545,141,705,420
2025-10-29_08-54-02,normal,0.6210631728172302,327,49,504,421
2025-10-29_08-54-03,normal,0.6977366805076599,546,142,683,419
2025-10-29_08-54-03,normal,0.626422107219696,336,47,506,418
2025-10-29_08-54-03,normal,0.6880214810371399,547,141,669,419
2025-10-29_08-54-03,normal,0.5987051725387573,339,47,506,413
2025-10-29_08-54-03,normal,0.7622091174125671,548,139,678,420
2025-10-29_08-54-03,normal,0.7344058156013489,340,50,507,413
2025-10-29_08-54-03,normal,0.6979985237121582,549,138,681,419
2025-10-29_08-54-03,normal,0.6359014511108398,342,48,508,411
2025-10-29_08-54-03,normal,0.6931816935539246,549,138,688,419
2025-10-29_08-54-03,normal,0.5598011612892151,339,47,509,412
2025-10-29_08-54-04,normal,0.6827524304389954,550,138,690,419
2025-10-29_08-54-04,normal,0.560752809047699,336,47,510,416
2025-10-29_08-54-04,normal,0.7608820796012878,549,138,693,418
2025-10-29_08-54-04,normal,0.5199859738349915,346,47,512,424
2025-10-29_08-54-04,normal,0.7575910091400146,549,138,693,418
2025-10-29_08-54-04,normal,0.6803691387176514,342,46,513,425
2025-10-29_08-54-04,normal,0.7342386245727539,549,137,691,417
2025-10-29_08-54-04,normal,0.7090415358543396,348,46,514,428
2025-10-29_08-54-04,normal,0.7139848470687866,550,135,688,417
2025-10-29_08-54-04,normal,0.6960388422012329,349,45,515,428
2025-10-29_08-54-05,normal,0.7275425791740417,351,46,516,425
2025-10-29_08-54-05,normal,0.6906524896621704,552,136,696,417
2025-10-29_08-54-05,normal,0.7378431558609009,351,46,516,414
